如何查询佣金费率？	怎样才能查询佣金套餐	1.0
新股上市首日委托买入为何作废？	当天卖出股票资金可转入银行卡里吗？	0.0
我新开户的帐号为什么不能申购新股？	新股中签，未及时缴款有什么影响？	0.0
我转银行突然冻结了	证券转银行为什么转不了？	1.0
多少资金能达到多少的佣金？	客户编号忘记了，怎么登录	0.0
股票卖出什么时候可以转出资金	深交所逆回购的起点金额？	0.0
信用账户如何申购新股？	你好，信用账户在那申购新股呢	1.0
我的资金转入失败是什么问题	为何账户有资金无法转出？	1.0
银转证咋转不了呀	新三板股票协议转让的申报类型？	0.0
新股申购的条件？	我麻烦问一下认购新股有什么条件吗？	1.0
深交所哪些上市债券实行净价交易？	深交所上市债券实行净价交易有哪些？	1.0
新股中签，未及时缴款有什么影响？	深市的债券有哪几种交易方式呢	0.0
上交所债券质押式回购竞价交易的有效竞价范围？	上交所债券质押式回购竞价交易的有效竞价范围？	1.0
手机账号忘记了怎么办	忘记我帐号	1.0
使用信用账户需要什么条件？	深圳市场大宗交易的条件？	0.0
创业板怎么开通	创业板如何开通	1.0
未办理外币银证转账业务的客户如何取款？	为什么我账号转银行不允许？	0.0
能帮我开一下创业板吗？	创业板如何开通	1.0
深圳市场大宗交易的条件？	你好，请帮我查一下我的佣金费率	0.0
新三板股票协议转让的申报类型？	请问注销普通的证券账户需要什么资料带去证券公司？	0.0
农行转证券为什么转不了	证券转银行为什么转不了？	1.0
当日卖出股票后可以转出资金吗？	股票卖了，钱要转到银行，多少时间以后可以转出到银行	1.0
如何收取股票交易佣金？	股票手续费怎么收	1.0
交易佣金多少	新股中签，未及时缴款有什么影响？	0.0
新股IPO网上发行制度有哪些修改？	创业板如何开通？	0.0
信用账户60岁以上怎么开立？	60岁以上如何开立信用账户？	1.0
股票交易	如何交易股票？	1.0
请问，申购新股时要注意什么呢	新股申购有何注意事项？	1.0
股票可以当天买入当天卖出吗？	股票可以当天买入当天卖出吗？	1.0
我要开深圳A股怎么做	深市中小企业板块A股证券代码是多少？	0.0
请问怎样开户	新三板股票协议转让的申报类型？	0.0
为何账户有资金无法转出？	资金怎么提不出来	1.0
多少资金能达到多少的佣金？	你好，佣金多少	1.0
我已经开户好几个月了，什么时候有买创业板权限	深市中小企业板块A股证券代码是多少？	0.0
新三板股票清算交收规则？	新三板股票清算交收规则？	1.0
忘记交易密码怎么办？	我的交易密码不对呀	1.0
证券转不到银行怎么回事？	新股上市首日委托买入为何作废？	0.0
投资者如何买卖港股通股票	深港通股票交易如何操作？	1.0
今天卖了股票的钱今天能取到银行卡不？	当日卖出股票后可以转出资金吗？	1.0
手机账户密码忘记了怎么办	我忘记登陆密码了	1.0
如何通过电话委托查询新股中签？	深交所配股认购的名称是如何编制的？	0.0
我什么钱转不出去	深市中小企业板块A股证券代码是多少？	0.0
为何账户有资金无法转出	新三板股票协议转让的申报类型？	0.0
资金转出失败	新三板股票协议转让的申报类型？	0.0
证券转银行为什么转不了？	请问银行无法转证券	1.0
A股交易费率	深圳市场大宗交易的条件？	0.0
多少资金能达到多少的佣金？	如何开户？	0.0
佣金与手续费的区别？	深市中小企业板块A股证券代码是多少？	0.0
证券转银行转不了怎么回事	深市中小企业板块A股证券代码是多少？	0.0
请问资金密码忘了怎么办	忘记资金密码怎么办？	1.0
如何注销三方存管账户？	如何注销三方存管账户？	1.0
新股中签，未及时缴款有什么影响？	登陆编号是什么	0.0
当日卖出股票后可以转出资金吗？	今天卖出的股票资金何时可以转到银行卡？	1.0
有多少是信用账户三方存管的银行？	信用账户三方存管的银行有哪些？	1.0
证卷转银行转不了	证券转银行为什么转不了？	1.0
为什么账号登录不上	如何开户？	1.0
新股IPO网上发行制度有哪些修改？	新三版股票转让有哪些计价单位？	0.0
同一个账号可以在不同手机上登录吗	同一个账号允许在不同的手机上同时登录吗？	1.0
申购新股后为何查询不到配号？	申购新股后为何查询不到配号？	1.0
网上开户佣金是多少？	理财账户的开户费是多少？	1.0
为什么我申购新股的时候，总是提示不具备申购条件？	新股申购的条件？	1.0
深市中小企业板块A股证券代码是多少？	交易密码忘	0.0
忘记交易密码怎么办？	交易密码忘记了。怎么办啊	1.0
投诉上市公司需要哪些证据？	如何通过电话委托查询新股中签？	0.0
银证转账的时间？	现在不支持银证转账？	1.0
深交所人民币特种股证券代码是根据什么编制的？	深交所B股证券代码的编制原则是什么？	1.0
上证基金通如何修改分红方式	上证基金通如何修改分红方式	1.0
股票交易费用	证券交易手续费	1.0
股票交易怎样收费	深圳市场大宗交易的条件？	0.0
注销后重新开户信用证卷账户能行吗？	新股上市首日委托买入为何作废？	0.0
不能买*ST股票	多少资金能达到多少的佣金？	0.0
证劵钱转银行 怎么转不了 怎么回事	证券转银行为什么转不了？	1.0
怎么开创业	深圳市场大宗交易的条件？	0.0
创业板如何开通	您好，请问怎么开通创业板	1.0
新股申购是否可以撤单	未办理外币银证转账业务的客户如何取款？	0.0
多少资金能达到多少的佣金？	上交所新股上市第一天的有效申报价格范围有怎样的规定	0.0
你好，我的账号忘了怎么办？	手机账号忘记了怎么办	1.0
多少资金能达到多少的佣金？	银转证转不了是怎么回事？	0.0
如何开户？	请问下怎么开户的啊	1.0
创业板怎么开通？	创业板如何开通	1.0
银证转账的时间？	银行转钱到你们证券有时间规定吗	1.0
我想问一下，外币证券转银证的金额有限制吗？	外币证券转银行限额	1.0
请问怎么转不了银行呢	深市中小企业板块A股证券代码是多少？	0.0
新股申购条件？	新股申购的条件？	1.0
你好，请问下，我想网上开户，但是第二代身份证刚过期了，拿新身份证需要1-2月，请问一定要等到新身份证才能办理吗	身份证过期可以办理开户吗？	1.0
股票手续费	如何收取股票交易佣金？	1.0
使用金融终端怎么修改K线图的副图指标参数	新股上市首日委托买入为何作废？	0.0
深市货币ETF是通过何种方式来计算收益的？	深圳市场大宗交易的条件？	0.0
创业板如何开通	我能开通创业板吗	1.0
新股中签，未及时缴款有什么影响？	我想开通购买创业板的权限，怎么办理？	0.0
新三板协议转让的成交原则有哪些？	新三板协议转让的成交规则？	1.0
开户中	深交所逆回购的起点金额？	0.0
忘了交易密码	新股上市首日委托买入为何作废？	0.0
为何账户有资金无法转出？	怎么转不出钱	1.0
股票可以当天买入当天卖出吗？	为什么我昨天买的股票今天卖不	1.0
你好怎样开通创业板	创业板如何开通	1.0
新股IPO网上发行制度有哪些修改？	上交所可转债债转股的转股数量规定？	0.0
你好，我想问下上交所股票期权行权价格的间距是怎么规定的	深交所逆回购的起点金额？	0.0
信用交易密码忘了怎么办？	如何通过电话委托查询新股中签？	0.0
忘记了帐号	新股上市首日委托买入为何作废？	0.0
信用账户的资金不能转出是什么原因啊	多少资金能达到多少的佣金？	0.0
忘了账号号码	手机账号忘记了怎么办	1.0
什么时候能银行证券之间转账	深交所逆回购的起点金额？	0.0
未办理外币银证转账业务的客户如何取款？	如何注销与理财账户相关联的银行卡？	0.0
未办理外币银证转账业务的客户如何取款？	怎么证卷不能转银行	0.0
信用账户的使用限制	有关信用账户使用的相关规定是什么？	1.0
上交所债券的费用有哪些？	深市中小企业板块A股证券代码是多少？	0.0
你好，在哪修改交易密码和通讯密码	如何通过电话委托查询新股中签？	0.0
新股中签，未及时缴款有什么影响？	如何调整佣金费率？	0.0
申报深市股票委托时，提示：证券账户无效，该如何处理？	深圳市场大宗交易的条件？	0.0
深交所逆回购的起点金额？	请问你们能开户吗	0.0
交易密码有英文吗	深交所逆回购的起点金额？	0.0
什么是深交所债券质押式回购竞价交易的有效竞价范围？	深圳市场大宗交易的条件？	0.0
证券转银行为什么转不了？	证券转银行怎么转不了呢	1.0
如何调整佣金费率？	我要调整佣金	1.0
我的资金转不出	为何账户有资金无法转出？	1.0
如何更换银行卡	新股上市首日委托买入为何作废？	0.0
您好，请问申购沪证新股的条件。	新股申购的条件？	1.0
深市A股增发代码具体指什么？	新股IPO网上发行制度有哪些修改？	0.0
如何通过电话委托查询新股中签？	你好，请问下，我想网上开户，但是第二代身份证刚过期了，拿新身份证需要1-2月，请问一定要等到新身份证才能办理吗	0.0
新股IPO网上发行制度有哪些修改？	信用账户60岁以上怎么开立？	0.0
新三板做市转让的申报有哪些条件？	新三板做市转让的申报规则？	1.0
多少资金能达到多少的佣金？	用什么办法可以重置信用账户密码？	0.0
上交所有哪些国债逆回购品种，代码是多少	未办理外币银证转账业务的客户如何取款？	0.0
新股上市首日委托买入为何作废？	我想咨询一下，我想打新，需要满足什么条件呢	0.0
证券账户在哪开	如何查询证券账号？	1.0
忘记账户了	手机账号忘记了怎么办	1.0
我把账户忘记怎么办	手机账号忘记了怎么办	1.0
我已开通创业板，	创业板如何开通	1.0
手续费降低了在你这里可以调整吗	如何调整佣金费率？	1.0
已经开户了，但登录时要帐号	新股中签，未及时缴款有什么影响？	0.0
资金转不出?	新股中签，未及时缴款有什么影响？	0.0
客户编号忘记了如何找回？	你好我的客户编号忘了	1.0
新股中签，未及时缴款有什么影响？	银行转证券问题	0.0
申请新三板挂牌需要多久？	新三板挂牌申请需要多少时间？	1.0
如何更换同一银行的三方存管银行卡？	请问下第三方存管银行可以变更吗	1.0
银行转证券转不了	证券转银行为什么转不了？	1.0
手机账号忘记了怎么办	账户忘记了	1.0
银行卡转不了证券	新股IPO网上发行制度有哪些修改？	0.0
股票的交易时间	未办理外币银证转账业务的客户如何取款？	0.0
新三板股票协议转让的申报类型？	怎么我的帐号登录不	0.0
新三板股票协议转让的申报类型？	能重新开个账户吗	0.0
我已经开有户，从哪登录	新三板股票协议转让的申报类型？	0.0
你好我的资金怎么转不进来	多少资金能达到多少的佣金？	0.0
开户干嘛的	如何开户？	1.0
如何通过电话委托查询新股中签？	上海证券交易所逆回购的起点是什么？	0.0
不允许取款的原因?	转账失败的原因？	1.0
未办理外币银证转账业务的客户如何取款？	怎样查我的股票帐号有没有连银行卡？	0.0
如何开创业版	创业板如何开通	1.0
忘记交易密码怎么办？	忘记交易密码了	1.0
亲，怎样改交易密码和通讯密码	如何修改交易密码	1.0
我己开户，密码忘记	深交所逆回购的起点金额？	0.0
深圳市场大宗交易的条件？	你好我的账号忘了	0.0
创业板权限开通的办理时间	现在开通创业板权限需要什么资质？	1.0
不能在网上直接销户吗？账户还没正式启用	未办理外币银证转账业务的客户如何取款？	0.0
身份证过期可以办理开户吗？	我想要开户，但是身份证过期了，新身份证要隔段时间才能拿到，还可以开户吗？	1.0
上证基金通如何修改分红方式	上证基金通基金（代码为519***）场内分红方式如何设置	1.0
新三版股票清算的交收规则包括什么？	新股中签，未及时缴款有什么影响？	0.0
新股IPO网上发行制度有哪些修改？	我想问下股票交易手续费怎么收	0.0
什么是新三版股票转让的计价单位？	新三版股票转让的计价单位？	1.0
深交所转股申报当日如何撤销？	深交所转股申报当日如何撤销？	1.0
我在外地交易密码忘记了	如何通过电话委托查询新股中签？	0.0
新股IPO网上发行制度有哪些修改？	忘记账号密码怎么办	0.0
未办理外币银证转账业务的客户如何取款？	我以前注册过帐号忘了怎么办	0.0
忘记交易密码怎么办？	交易密码怎么老是错的	1.0
如何更换银行卡？	如何更换银行卡？	1.0
新三板可以做融资融券交易吗？	融资融券业务交易能在新三板进行吗？	1.0
A股和港股的显示颜色有什么区别？	A股和港股的显示颜色有什么区别？	1.0
新股上市首日委托买入为何作废？	为什么资金可用不可取？	0.0
我刚开了户，怎么登不上啊	深圳市场大宗交易的条件？	0.0
怎样才能开创业板	创业板如何开通	1.0
创业板开户	多少资金能达到多少的佣金？	0.0
新股中签会有短信通知吗？	深圳市场大宗交易的条件？	0.0
股票可以当天买入当天卖出吗？	我今天买的股票，什么时候可以卖？	1.0
我的账号怎么登录不上	如何开户？	1.0
如何修改金融终端K线图的副图指标参数？	如何修改金融终端K线图的副图指标参数？	1.0
忘记登陆密码	未办理外币银证转账业务的客户如何取款？	0.0
你好，我的账户怎么登陆不上呢	未办理外币银证转账业务的客户如何取款？	0.0
账号登录不进去	深交所逆回购的起点金额？	0.0
账号忘记	手机账号忘记了怎么办	1.0
深交所逆回购的起点金额？	深交所哪些上市债券实行净价交易？	0.0
账号密码怎么修改	如何修改账户交易密码？	1.0
转签创业板权限	创业板权限转签如何操作？	1.0
证券转不到银行怎么回事？	证券转银行为什么转不了？	1.0
多少资金能达到多少的佣金？	如何重置信用账户密码？	0.0
我不想要网上委托权限了，怎么办理	新股中签，未及时缴款有什么影响？	0.0
新三板可以做融资融券交易吗？	新三板可以做融资融券交易吗？	1.0
新三板何时交易？	如何通过电话委托查询新股中签？	0.0
信用账户如何操作配债？	信用账户操作配债的流程是什么？	1.0
深市中小企业板块A股证券代码是多少？	新三版股票转让的计价单位？	0.0
新三板股票协议转让的申报类型？	新三板股票清算交收规则？	0.0
如何修改交易密码	为什么不能修改交易密码	1.0
查看创业板开通情况	如何通过电话委托查询新股中签？	0.0
新股中签，未及时缴款有什么影响？	转出到银行的资金冻结	0.0
我为什么买不了ST新股	深交所逆回购的起点金额？	0.0
多少资金能达到多少的佣金？	佣金调整	0.0
你好 怎么资金转不出来	为何账户有资金无法转出？	1.0
怎样才能开创业板	多少资金能达到多少的佣金？	0.0
未办理外币银证转账业务的客户如何取款？	忘记资金账号密码怎么找回啊	0.0
股票的交易时间？	股票的交易时间？	1.0
